case_id,split,topology_family,rendering_family,condition,treatment,architecture,selected_event_exact,verifier_status,abstained,projection_error,answer,expected_answer,answer_correct,silent_wrong_use,unsafe_disclosure,false_denial
X04-F04-clean,development,unsynchronized_same_principal_replicas,explicit,clean,raw_verifier,T_typed,1,accept,0,0,'disbelieve','disbelieve',1,0,0,0
X04-F04-field,development,unsynchronized_same_principal_replicas,explicit,field_corruption,raw_verifier,G_generic,1,correct,0,0,'disbelieve','disbelieve',1,0,0,0
X04-F04-field,development,unsynchronized_same_principal_replicas,explicit,field_corruption,raw_verifier,T_typed,1,correct,0,0,'disbelieve','disbelieve',1,0,0,0
X04-F04-omitted,development,unsynchronized_same_principal_replicas,explicit,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,'disbelieve','disbelieve',1,0,0,0
X04-F04-omitted,development,unsynchronized_same_principal_replicas,explicit,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,'disbelieve','disbelieve',1,0,0,0
X04-F04-raw-unavailable,development,unsynchronized_same_principal_replicas,explicit,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN','disbelieve',0,0,0,0
X04-F04-raw-unavailable,development,unsynchronized_same_principal_replicas,explicit,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN','disbelieve',0,0,0,0
X05-F05-clean,development,identity_fork_copy_attribution,conversational,clean,raw_verifier,G_generic,1,accept,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-clean,development,identity_fork_copy_attribution,conversational,clean,raw_verifier,T_typed,1,accept,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-field,development,identity_fork_copy_attribution,conversational,field_corruption,raw_verifier,G_generic,1,correct,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-field,development,identity_fork_copy_attribution,conversational,field_corruption,raw_verifier,T_typed,1,correct,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-omitted,development,identity_fork_copy_attribution,conversational,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-omitted,development,identity_fork_copy_attribution,conversational,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,'evidence_copy','evidence_copy',1,0,0,0
X05-F05-raw-unavailable,development,identity_fork_copy_attribution,conversational,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN','evidence_copy',0,0,0,0
X05-F05-raw-unavailable,development,identity_fork_copy_attribution,conversational,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN','evidence_copy',0,0,0,0
X06-F06-clean,development,receive_accept_reject,elliptical,clean,raw_verifier,G_generic,1,accept,0,0,True,True,1,0,0,0
X06-F06-clean,development,receive_accept_reject,elliptical,clean,raw_verifier,T_typed,1,accept,0,0,True,True,1,0,0,0
X06-F06-field,development,receive_accept_reject,elliptical,field_corruption,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X06-F06-field,development,receive_accept_reject,elliptical,field_corruption,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X06-F06-omitted,development,receive_accept_reject,elliptical,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X06-F06-omitted,development,receive_accept_reject,elliptical,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X06-F06-raw-unavailable,development,receive_accept_reject,elliptical,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X06-F06-raw-unavailable,development,receive_accept_reject,elliptical,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X07-F07-clean,development,exposure_policy_lifecycle,explicit,clean,raw_verifier,G_generic,1,accept,0,0,False,False,1,0,0,0
X07-F07-clean,development,exposure_policy_lifecycle,explicit,clean,raw_verifier,T_typed,1,accept,0,0,False,False,1,0,0,0
X07-F07-field,development,exposure_policy_lifecycle,explicit,field_corruption,raw_verifier,G_generic,1,correct,0,0,False,False,1,0,0,0
X07-F07-field,development,exposure_policy_lifecycle,explicit,field_corruption,raw_verifier,T_typed,1,correct,0,0,False,False,1,0,0,0
X07-F07-omitted,development,exposure_policy_lifecycle,explicit,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,False,False,1,0,0,0
X07-F07-omitted,development,exposure_policy_lifecycle,explicit,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,False,False,1,0,0,0
X07-F07-raw-unavailable,development,exposure_policy_lifecycle,explicit,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',False,0,0,0,0
X07-F07-raw-unavailable,development,exposure_policy_lifecycle,explicit,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',False,0,0,0,0
