case_id,split,topology_family,rendering_family,condition,recoverable_from_raw,status,confidence,covered,output_event_exact,decision_correct,clean_false_correction,corrupted_false_accept,missing_recovered,raw_unavailable_abstained,field_evidence_count,reason_codes,parser_calls,raw_characters,brier_if_covered
X03-F03-raw-unavailable,development,world_fork_without_mind_copy,elliptical,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X04-F04-clean,development,unsynchronized_same_principal_replicas,explicit,clean,1,accept,0.97999999999999998,1,1,1,0,0,0,0,8,raw_candidate_agree,1,143,0.00040000000000000072
X04-F04-field,development,unsynchronized_same_principal_replicas,explicit,field_corruption,1,correct,0.97999999999999998,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,143,0.00040000000000000072
X04-F04-omitted,development,unsynchronized_same_principal_replicas,explicit,candidate_omitted,1,correct,0.97999999999999998,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,143,0.00040000000000000072
X04-F04-raw-unavailable,development,unsynchronized_same_principal_replicas,explicit,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X05-F05-clean,development,identity_fork_copy_attribution,conversational,clean,1,accept,0.90000000000000002,1,1,1,0,0,0,0,8,raw_candidate_agree,1,103,0.009999999999999995
X05-F05-field,development,identity_fork_copy_attribution,conversational,field_corruption,1,correct,0.90000000000000002,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,103,0.009999999999999995
X05-F05-omitted,development,identity_fork_copy_attribution,conversational,candidate_omitted,1,correct,0.90000000000000002,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,103,0.009999999999999995
X05-F05-raw-unavailable,development,identity_fork_copy_attribution,conversational,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X06-F06-clean,development,receive_accept_reject,elliptical,clean,1,accept,0.83999999999999997,1,1,1,0,0,0,0,8,raw_candidate_agree,1,77,0.025600000000000012
X06-F06-field,development,receive_accept_reject,elliptical,field_corruption,1,correct,0.83999999999999997,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,77,0.025600000000000012
X06-F06-omitted,development,receive_accept_reject,elliptical,candidate_omitted,1,correct,0.83999999999999997,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,77,0.025600000000000012
X06-F06-raw-unavailable,development,receive_accept_reject,elliptical,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X07-F07-clean,development,exposure_policy_lifecycle,explicit,clean,1,accept,0.97999999999999998,1,1,1,0,0,0,0,7,raw_candidate_agree,1,141,0.00040000000000000072
X07-F07-field,development,exposure_policy_lifecycle,explicit,field_corruption,1,correct,0.97999999999999998,1,1,1,0,0,0,0,7,raw_candidate_field_conflict,1,141,0.00040000000000000072
X07-F07-omitted,development,exposure_policy_lifecycle,explicit,candidate_omitted,1,correct,0.97999999999999998,1,1,1,0,0,1,0,7,candidate_missing_raw_reconstruction,1,141,0.00040000000000000072
X07-F07-raw-unavailable,development,exposure_policy_lifecycle,explicit,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X08-F08-clean,heldout,restore_manifest_gap,conversational,clean,1,accept,0.90000000000000002,1,1,1,0,0,0,0,9,raw_candidate_agree,1,117,0.009999999999999995
X08-F08-field,heldout,restore_manifest_gap,conversational,field_corruption,1,correct,0.90000000000000002,1,1,1,0,0,0,0,9,raw_candidate_field_conflict,1,117,0.009999999999999995
X08-F08-omitted,heldout,restore_manifest_gap,conversational,candidate_omitted,1,correct,0.90000000000000002,1,1,1,0,0,1,0,9,candidate_missing_raw_reconstruction,1,117,0.009999999999999995
X08-F08-raw-unavailable,heldout,restore_manifest_gap,conversational,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X09-F09-clean,heldout,cross_world_reference_context,elliptical,clean,1,accept,0.83999999999999997,1,1,1,0,0,0,0,8,raw_candidate_agree,1,73,0.025600000000000012
X09-F09-field,heldout,cross_world_reference_context,elliptical,field_corruption,1,correct,0.83999999999999997,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,73,0.025600000000000012
X09-F09-omitted,heldout,cross_world_reference_context,elliptical,candidate_omitted,1,correct,0.83999999999999997,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,73,0.025600000000000012
X09-F09-raw-unavailable,heldout,cross_world_reference_context,elliptical,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X10-F10-clean,heldout,protected_only_revocation,explicit,clean,1,accept,0.97999999999999998,1,1,1,0,0,0,0,6,raw_candidate_agree,1,138,0.00040000000000000072
X10-F10-field,heldout,protected_only_revocation,explicit,field_corruption,1,correct,0.97999999999999998,1,1,1,0,0,0,0,6,raw_candidate_field_conflict,1,138,0.00040000000000000072
X10-F10-omitted,heldout,protected_only_revocation,explicit,candidate_omitted,1,correct,0.97999999999999998,1,1,1,0,0,1,0,6,candidate_missing_raw_reconstruction,1,138,0.00040000000000000072
X10-F10-raw-unavailable,heldout,protected_only_revocation,explicit,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X11-F11-clean,heldout,independent_public_survives,conversational,clean,1,accept,0.90000000000000002,1,1,1,0,0,0,0,6,raw_candidate_agree,1,96,0.009999999999999995
X11-F11-field,heldout,independent_public_survives,conversational,field_corruption,1,correct,0.90000000000000002,1,1,1,0,0,0,0,6,raw_candidate_field_conflict,1,96,0.009999999999999995
X11-F11-omitted,heldout,independent_public_survives,conversational,candidate_omitted,1,correct,0.90000000000000002,1,1,1,0,0,1,0,6,candidate_missing_raw_reconstruction,1,96,0.009999999999999995
X11-F11-raw-unavailable,heldout,independent_public_survives,conversational,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X12-F12-clean,heldout,same_origin_dedup,elliptical,clean,1,accept,0.83999999999999997,1,1,1,0,0,0,0,6,raw_candidate_agree,1,78,0.025600000000000012
X12-F12-field,heldout,same_origin_dedup,elliptical,field_corruption,1,correct,0.83999999999999997,1,1,1,0,0,0,0,6,raw_candidate_field_conflict,1,78,0.025600000000000012
X12-F12-omitted,heldout,same_origin_dedup,elliptical,candidate_omitted,1,correct,0.83999999999999997,1,1,1,0,0,1,0,6,candidate_missing_raw_reconstruction,1,78,0.025600000000000012
X12-F12-raw-unavailable,heldout,same_origin_dedup,elliptical,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X13-F13-clean,heldout,authorized_replication,explicit,clean,1,accept,0.97999999999999998,1,1,1,0,0,0,0,9,raw_candidate_agree,1,151,0.00040000000000000072
X13-F13-field,heldout,authorized_replication,explicit,field_corruption,1,correct,0.97999999999999998,1,1,1,0,0,0,0,9,raw_candidate_field_conflict,1,151,0.00040000000000000072
X13-F13-omitted,heldout,authorized_replication,explicit,candidate_omitted,1,correct,0.97999999999999998,1,1,1,0,0,1,0,9,candidate_missing_raw_reconstruction,1,151,0.00040000000000000072
X13-F13-raw-unavailable,heldout,authorized_replication,explicit,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X14-F14-clean,heldout,temporal_negative_controls,conversational,clean,1,accept,0.90000000000000002,1,1,1,0,0,0,0,7,raw_candidate_agree,1,86,0.009999999999999995
X14-F14-field,heldout,temporal_negative_controls,conversational,field_corruption,1,correct,0.90000000000000002,1,1,1,0,0,0,0,7,raw_candidate_field_conflict,1,86,0.009999999999999995
X14-F14-omitted,heldout,temporal_negative_controls,conversational,candidate_omitted,1,correct,0.90000000000000002,1,1,1,0,0,1,0,7,candidate_missing_raw_reconstruction,1,86,0.009999999999999995
X14-F14-raw-unavailable,heldout,temporal_negative_controls,conversational,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
