fixture_id,archetype,query_id,target,system,gold,prediction,correct,validator_findings
f07,receipt_and_rejection,f07-q02,attribution,generic_basic,attributed_report,attributed_report,1,0
f07,receipt_and_rejection,f07-q01,attitude,generic_audited,disbelieve:true,disbelieve:true,1,0
f07,receipt_and_rejection,f07-q02,attribution,generic_audited,attributed_report,attributed_report,1,0
f07,receipt_and_rejection,f07-q01,attitude,typed,disbelieve:true,disbelieve:true,1,0
f07,receipt_and_rejection,f07-q02,attribution,typed,attributed_report,attributed_report,1,0
f08,forget_and_reacquire,f08-q01,ever_exposed,generic_basic,yes,yes,1,0
f08,forget_and_reacquire,f08-q02,available,generic_basic,no,no,1,0
f08,forget_and_reacquire,f08-q03,ever_exposed,generic_basic,yes,yes,1,0
f08,forget_and_reacquire,f08-q04,available,generic_basic,yes,yes,1,0
f08,forget_and_reacquire,f08-q01,ever_exposed,generic_audited,yes,yes,1,0
f08,forget_and_reacquire,f08-q02,available,generic_audited,no,no,1,0
f08,forget_and_reacquire,f08-q03,ever_exposed,generic_audited,yes,yes,1,0
f08,forget_and_reacquire,f08-q04,available,generic_audited,yes,yes,1,0
f08,forget_and_reacquire,f08-q01,ever_exposed,typed,yes,yes,1,0
f08,forget_and_reacquire,f08-q02,available,typed,no,no,1,0
f08,forget_and_reacquire,f08-q03,ever_exposed,typed,yes,yes,1,0
f08,forget_and_reacquire,f08-q04,available,typed,yes,yes,1,0
f09,shared_support_revoked,f09-q01,disclose,generic_basic,no,no,1,0
f09,shared_support_revoked,f09-q02,justification,generic_basic,withhold,withhold,1,0
f09,shared_support_revoked,f09-q01,disclose,generic_audited,no,no,1,0
f09,shared_support_revoked,f09-q02,justification,generic_audited,withhold,withhold,1,0
f09,shared_support_revoked,f09-q01,disclose,typed,no,no,1,0
f09,shared_support_revoked,f09-q02,justification,typed,withhold,withhold,1,0
f10,same_origin_not_independent,f10-q01,disclose,generic_basic,no,no,1,0
f10,same_origin_not_independent,f10-q02,justification,generic_basic,withhold,withhold,1,0
f10,same_origin_not_independent,f10-q01,disclose,generic_audited,no,no,1,0
f10,same_origin_not_independent,f10-q02,justification,generic_audited,withhold,withhold,1,0
f10,same_origin_not_independent,f10-q01,disclose,typed,no,no,1,0
f10,same_origin_not_independent,f10-q02,justification,typed,withhold,withhold,1,0
f11,cross_world_report,f11-q01,attitude,generic_basic,believe:true,believe:true,1,0
f11,cross_world_report,f11-q02,attitude,generic_basic,unknown,unknown,1,0
f11,cross_world_report,f11-q03,world,generic_basic,true,true,1,0
f11,cross_world_report,f11-q04,world,generic_basic,unknown,unknown,1,0
f11,cross_world_report,f11-q05,source_actor,generic_basic,m1,m1,1,0
f11,cross_world_report,f11-q01,attitude,generic_audited,believe:true,believe:true,1,0
f11,cross_world_report,f11-q02,attitude,generic_audited,unknown,unknown,1,0
f11,cross_world_report,f11-q03,world,generic_audited,true,true,1,0
f11,cross_world_report,f11-q04,world,generic_audited,unknown,unknown,1,0
f11,cross_world_report,f11-q05,source_actor,generic_audited,m1,m1,1,0
f11,cross_world_report,f11-q01,attitude,typed,believe:true,believe:true,1,0
f11,cross_world_report,f11-q02,attitude,typed,unknown,unknown,1,0
f11,cross_world_report,f11-q03,world,typed,true,true,1,0
f11,cross_world_report,f11-q04,world,typed,unknown,unknown,1,0
f11,cross_world_report,f11-q05,source_actor,typed,m1,m1,1,0
f12,multi_source_fragment_reconstruction,f12-q01,attribution,generic_basic,reconstruction,reconstruction,1,0
f12,multi_source_fragment_reconstruction,f12-q02,merge_eligible,generic_basic,no,no,1,0
f12,multi_source_fragment_reconstruction,f12-q03,attitude,generic_basic,suspect:true,suspect:true,1,0
f12,multi_source_fragment_reconstruction,f12-q01,attribution,generic_audited,reconstruction,reconstruction,1,0
f12,multi_source_fragment_reconstruction,f12-q02,merge_eligible,generic_audited,no,no,1,0
f12,multi_source_fragment_reconstruction,f12-q03,attitude,generic_audited,suspect:true,suspect:true,1,0
f12,multi_source_fragment_reconstruction,f12-q01,attribution,typed,reconstruction,reconstruction,1,0
f12,multi_source_fragment_reconstruction,f12-q02,merge_eligible,typed,no,no,1,0
f12,multi_source_fragment_reconstruction,f12-q03,attitude,typed,suspect:true,suspect:true,1,0
f13,ordinary_temporal_update_control,f13-q01,world,generic_basic,seoul,seoul,1,0
f13,ordinary_temporal_update_control,f13-q02,world,generic_basic,busan,busan,1,0
f13,ordinary_temporal_update_control,f13-q01,world,generic_audited,seoul,seoul,1,0
f13,ordinary_temporal_update_control,f13-q02,world,generic_audited,busan,busan,1,0
f13,ordinary_temporal_update_control,f13-q01,world,typed,seoul,seoul,1,0
f13,ordinary_temporal_update_control,f13-q02,world,typed,busan,busan,1,0
f14,same_principal_unsynchronized_replicas,f14-q01,available,generic_basic,yes,yes,1,0
f14,same_principal_unsynchronized_replicas,f14-q02,available,generic_basic,no,no,1,0
f14,same_principal_unsynchronized_replicas,f14-q03,ever_exposed,generic_basic,no,no,1,0
f14,same_principal_unsynchronized_replicas,f14-q01,available,generic_audited,yes,yes,1,0
f14,same_principal_unsynchronized_replicas,f14-q02,available,generic_audited,no,no,1,0
f14,same_principal_unsynchronized_replicas,f14-q03,ever_exposed,generic_audited,no,no,1,0
f14,same_principal_unsynchronized_replicas,f14-q01,available,typed,yes,yes,1,0
f14,same_principal_unsynchronized_replicas,f14-q02,available,typed,no,no,1,0
f14,same_principal_unsynchronized_replicas,f14-q03,ever_exposed,typed,no,no,1,0
