case_id,family,observer,surface,clean_control,identifiable,detected,contained,answer_correct,silent_incorrect_use,answer,expected_clean_answer,alert_rules,candidate_event_ids,candidate_constraint_ids,mutated_event_hit,responsible_recall,localization_precision,exact_responsible_set,candidate_set_size
C02,clean_forward_independent_support,T_typed_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C03,clean_backdated_policy_revision,G_generic_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,'unknown','unknown',,,,False,0.0,0.0,False,0
C03,clean_backdated_policy_revision,T_typed_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,'unknown','unknown',,,,False,0.0,0.0,False,0
C04,clean_explicit_snapshot_manifest,G_generic_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C04,clean_explicit_snapshot_manifest,T_typed_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C05,clean_authorized_replication,G_generic_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C05,clean_authorized_replication,T_typed_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C06,clean_authenticated_journal,G_generic_observer_v0.2,EXTERNAL_COMMITMENT,True,True,False,False,True,False,False,False,,,,False,0.0,0.0,False,0
C06,clean_authenticated_journal,T_typed_observer_v0.2,EXTERNAL_COMMITMENT,True,True,False,False,True,False,False,False,,,,False,0.0,0.0,False,0
C07,clean_projection_binding,G_generic_observer_v0.2,PROJECTION_COMMITMENT,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
C07,clean_projection_binding,T_typed_observer_v0.2,PROJECTION_COMMITMENT,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
